,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image
3231,49809,Women,Footwear,Flip Flops,Flip Flops,White,Winter,2012.0,Casual,iPanema Women White Flip Flops,49809.jpg
3233,27876,Women,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Scullers For Her Printed White Shirt,27876.jpg
3234,6288,Unisex,Footwear,Flip Flops,Flip Flops,Red,Summer,2011.0,Casual,Puma Unisex Matrix Red White Flip Flop,6288.jpg
3237,38290,Girls,Apparel,Topwear,Tops,Turquoise Blue,Summer,2012.0,Casual,Kids Ville Girls Turquoise Blue Top,38290.jpg
3238,14866,Men,Accessories,Wallets,Wallets,Green,Summer,2011.0,Casual,United Colors of Benetton Men Solid Green Wallets,14866.jpg
3239,41258,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,Arrow Men Black Wallet,41258.jpg
3240,39342,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Fila Men Zoom Black Shoes,39342.jpg
3241,58147,Men,Accessories,Socks,Socks,White,Spring,2014.0,Sports,PUMA Men Set of 3 White Above Ankle-Length Socks,58147.jpg
3242,40984,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys United White T-shirt,40984.jpg
3245,36138,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Zoom Hyperenforcer White Sports Shoes,36138.jpg
3246,59095,Women,Apparel,Innerwear,Bra,Skin,Summer,2017.0,Casual,Peri Peri Women Skin Bra,59095.jpg
3247,20861,Women,Accessories,Wallets,Wallets,Grey,Fall,2011.0,Casual,United Colors of Benetton Women Casual Grey Wallet,20861.jpg
3249,39170,Women,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,Aneri Women Black Kurta,39170.jpg
3251,8120,Men,Accessories,Belts,Belts,Black,Winter,2016.0,Casual,Fastrack Men Black Belt,8120.jpg
3258,28230,Men,Personal Care,Fragrance,Deodorant,Black,Spring,2017.0,Casual,Playboy Men Ibiza Deo,28230.jpg
3260,59608,Women,Apparel,Saree,Sarees,Magenta,Fall,2012.0,Ethnic,FNF Magenta & Gold Collection for Wedding Sari,59608.jpg
3262,4170,Women,Footwear,Shoes,Sports Shoes,Yellow,Winter,2011.0,Sports,Reebok Women Zig Sonic Yellow and Grey Sports Shoes,4170.jpg
3263,45257,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Casio Edifice Men Silver Analogue Watches (ED446) EF-131D-7AVDF,45257.jpg
3264,44385,Women,Personal Care,Fragrance,Deodorant,White,Spring,2017.0,Casual,Spinz Women Hip-Hop Deo,44385.jpg
3266,37677,Unisex,Accessories,Bags,Backpacks,Brown,Summer,2012.0,Casual,American Tourister Unisex Brown Backpack,37677.jpg
3268,32305,Women,Accessories,Watches,Watches,Red,Winter,2016.0,Casual,Q&Q Women Red Dial Watch,32305.jpg
3269,56640,Women,Apparel,Topwear,Tunics,Blue,Summer,2012.0,Casual,Mumbai Slang Women Multi Coloured Tunic,56640.jpg
3273,48548,Women,Accessories,Belts,Belts,Maroon,Summer,2012.0,Casual,Wrangler Women Maroon Belt,48548.jpg
3275,18238,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Manchester United Men Printed White Tshirt,18238.jpg
3276,26537,Men,Footwear,Shoes,Casual Shoes,Blue,Winter,2015.0,Casual,ID Men Blue Shoes,26537.jpg
3277,12702,Women,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Nike Women Capri White Casual Shoes,12702.jpg
3282,23045,Women,Apparel,Bottomwear,Leggings,Black,Fall,2011.0,Casual,Arrow Woman Black Printed Jeggings,23045.jpg
3284,35120,Women,Accessories,Jewellery,Necklace and Chains,Bronze,Fall,2012.0,Casual,Allen Solly Woman Bronze Necklace,35120.jpg
3285,22197,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2012.0,Casual,Timberland Men Brown Casual Shoes,22197.jpg
3286,51465,Women,Apparel,Dress,Dresses,Teal,Summer,2012.0,Casual,Tonga Women Teal Dress,51465.jpg
3287,54325,Women,Apparel,Innerwear,Bra,White,Summer,2017.0,Casual,Garfield Women White & Pink Bra,54325.jpg
3288,43392,Men,Accessories,Wallets,Wallets,Brown,Summer,2012.0,Casual,Lino Perros Men Brown Wallet,43392.jpg
3289,42240,Women,Apparel,Topwear,Tops,Purple,Summer,2012.0,Casual,Sepia Women Purple Top,42240.jpg
3290,3167,Women,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Nike Women Main Draw White Blue Shoe,3167.jpg
3291,26705,Women,Footwear,Shoes,Flats,Black,Fall,2011.0,Casual,Nike Women Black Tenkay Shoes,26705.jpg
3292,12530,Women,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Puma Women Stripes Blue Tshirts,12530.jpg
3293,18836,Men,Accessories,Belts,Belts,Black,Summer,2011.0,Casual,Peter England Men Classic Black Belt,18836.jpg
3294,6415,Unisex,Footwear,Shoes,Casual Shoes,Blue,Summer,2011.0,Casual,Lotto Unisex Canvas Purple Yellow Shoe,6415.jpg
3297,17042,Men,Footwear,Shoes,Sports Shoes,Grey,Summer,2013.0,Sports,GAS Men Grey Skate 002 Shoes,17042.jpg
3300,16190,Men,Apparel,Topwear,Jackets,Navy Blue,Fall,2011.0,Sports,Puma Men Heroes Navy Blue Jackets,16190.jpg
3301,35312,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings,35312.jpg
3303,15715,Women,Footwear,Shoes,Casual Shoes,Purple,Fall,2011.0,Casual,Nike Women Sweet Classic High Purple Casual Shoes,15715.jpg
3305,53100,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016.0,Casual,Fabindia Silver Earrings,53100.jpg
3306,5290,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2011.0,Formal,Lee Cooper Men Black Shoe,5290.jpg
3307,56472,Women,Personal Care,Nails,Nail Polish,Blue,Spring,2017.0,,Streetwear Icy Blue Nail Polish # 68,56472.jpg
3308,25180,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Lino Perros Women Leatherette Brown Handbag,25180.jpg
3313,42624,Women,Accessories,Jewellery,Earrings,Gold,Winter,2016.0,Casual,Estelle Women Earrings,42624.jpg
3316,12154,Women,Apparel,Bottomwear,Leggings,Black,Fall,2011.0,Ethnic,Aurelia Women Solid Black Leggings,12154.jpg
3317,54741,Unisex,Footwear,Shoes,Casual Shoes,Grey,Summer,2012.0,Casual,Vans Unisex Grey Shoes,54741.jpg
3318,13086,Unisex,Footwear,Shoes,Casual Shoes,Gold,Fall,2011.0,Casual,Timberland Unisex Casual Gold Casual Shoes,13086.jpg
3319,9039,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011.0,Formal,Buckaroo Men Victor Black Formal Shoes,9039.jpg
3321,46284,Women,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,109F Women Black & White Top,46284.jpg
3323,6071,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,UCB Women's Epaulettes Pink T-shirt,6071.jpg
3324,47356,Women,Accessories,Bags,Clutches,Brown,Summer,2012.0,Casual,Baggit Women Brown Affair Hoor Purse,47356.jpg
3327,23613,Women,Personal Care,Fragrance,Perfume and Body Mist,Blue,Spring,2017.0,Casual,Nike Fragrances Women Magic Passion Perfume 150 ml,23613.jpg
3331,45401,Women,Footwear,Shoes,Flats,Grey,Winter,2012.0,Casual,Rocia Women Grey Sandals,45401.jpg
3335,40173,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Fastrack Men Black Polarized Sporty Wrap Sunglasses,40173.jpg
3336,33481,Women,Accessories,Belts,Belts,Purple,Summer,2012.0,Casual,Baggit Women Baaz Sandwichtost Purple Belt,33481.jpg
3337,10603,Unisex,Accessories,Headwear,Caps,Grey,Fall,2011.0,Sports,Nike Unisex Tennis Grey Caps,10603.jpg
3338,56016,Women,Personal Care,Lips,Lipstick,Orange,Spring,2017.0,Casual,Colorbar Soft Touch Citrine Lipstick 040,56016.jpg
3347,45633,Men,Apparel,Innerwear,Briefs,Navy Blue,Summer,2016.0,Casual,Park Avenue Men Navy Blue Swank Brief,45633.jpg
3348,24604,Women,Apparel,Topwear,Kurtas,Brown,Fall,2011.0,Ethnic,Vishudh Women Brown Printed Kurta,24604.jpg
3351,26153,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Formal,John Miller Men Striped Black Trousers,26153.jpg
3355,30036,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,SKAGEN DENMARK Women White Mother of Pearl Dial Watch 107SSCS,30036.jpg
3356,54573,Women,Apparel,Topwear,Kurtas,Coffee Brown,Summer,2012.0,Ethnic,Sushilas Women Coffee Brown Kurta,54573.jpg
3358,7391,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018.0,Formal,Red Tape Men's Black Slip-On Formal Shoe,7391.jpg
3359,51001,Women,Apparel,Innerwear,Bra,Skin,Summer,2018.0,Casual,Enamor Full Figure Skin Bra,51001.jpg
3360,17614,Boys,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Doodle Boys Cycle Black Tshirt,17614.jpg
3361,48910,Women,Accessories,Jewellery,Pendant,Silver,Summer,2013.0,Casual,Lucera Women Silver Pendant with Chain,48910.jpg
3362,34496,Women,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,Van Heusen Woman Blue Shirt,34496.jpg
3364,47164,Men,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Peter England Men Brown Belt,47164.jpg
3365,49238,Men,Accessories,Headwear,Caps,Black,Fall,2012.0,Casual,Arrow Men Black Cap,49238.jpg
3366,31322,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Aurelia Women Printed Blue Kurta,31322.jpg
3367,19548,Men,Apparel,Topwear,Sweatshirts,Purple,Fall,2011.0,Casual,United Colors of Benetton Men Solid Purple Sweatshirt,19548.jpg
3369,43702,Women,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Remanika Women Black Top,43702.jpg
3370,22735,Women,Footwear,Shoes,Sports Shoes,Grey,Fall,2011.0,Sports,Nike Women Grey Lunarswift +3 Sports Shoes,22735.jpg
3371,8923,Men,Accessories,Belts,Belts,White,Winter,2012.0,Casual,Puma Men White Belt,8923.jpg
3373,7157,Women,Apparel,Topwear,Tunics,Black,Fall,2011.0,Casual,Scullers For Her Women Fashion Summer Black Tunics,7157.jpg
3374,35782,Women,Footwear,Shoes,Heels,Pink,Summer,2012.0,Casual,Enroute Women Pink Flats,35782.jpg
3375,6085,Women,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,UCB Women's Halftone Print White T-shirt,6085.jpg
3376,34650,Women,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Fila Women Top Fuel Black Sports Shoes,34650.jpg
3377,50315,Men,Accessories,Ties,Ties,Red,Summer,2012.0,Formal,Park Avenue Men Red Tie,50315.jpg
3379,58178,Women,Accessories,Bags,Handbags,Grey,Summer,2012.0,Casual,Rocky S Women Grey Handbag,58178.jpg
3382,15385,Men,Footwear,Flip Flops,Flip Flops,Blue,Summer,2013.0,Casual,Fila Men Hawai Blue Flip Flops,15385.jpg
3385,41869,Men,Footwear,Sandal,Sandals,Yellow,Fall,2015.0,Casual,Estd. 1977 Men Yellow & Brown Sandals,41869.jpg
3386,40187,Women,Apparel,Topwear,Kurtis,Blue,Summer,2012.0,Ethnic,Mumbai Slang Women Blue Kurti,40187.jpg
3387,33475,Women,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Baggit Women Capture Jassy Brown Belt,33475.jpg
3388,58944,Women,Personal Care,Fragrance,Perfume and Body Mist,Orange,Spring,2017.0,Casual,Taylor of London Women Tweed Perfume,58944.jpg
3389,57130,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Elle Women Printed White Top,57130.jpg
3391,59896,Women,Apparel,Dress,Dresses,Multi,Fall,2012.0,Casual,Femella Women Multi Coloured Dress,59896.jpg
3392,44715,Men,Footwear,Flip Flops,Flip Flops,Blue,Summer,2012.0,Casual,Lotto Men Navy Blue Flip Flops,44715.jpg
3393,5432,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Nike Men's Cruiser Run The City Blue T-shirt,5432.jpg
3394,20250,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Wrangler Men Music Grey Tshirt,20250.jpg
3398,21382,Men,Apparel,Bottomwear,Shorts,White,Fall,2011.0,Casual,Manchester United Men Solid White Shorts,21382.jpg
3399,36335,Men,Accessories,Socks,Socks,White,Summer,2016.0,Casual,Playboy Men White and Red Socks,36335.jpg
3401,14859,Women,Accessories,Wallets,Wallets,Black,Summer,2011.0,Casual,United Colors of Benetton Women Solid Black Wallets,14859.jpg
3402,33647,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Lotto Men Ridge Black Sandals,33647.jpg
3403,41267,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,Arrow Men Black Wallet,41267.jpg
3404,11517,Women,Footwear,Shoes,Heels,White,Winter,2015.0,Casual,Catwalk Women Lifestyle White Shoes,11517.jpg
3405,25722,Men,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Wrangler Men Canvas Brown Belt,25722.jpg
3406,55455,Women,Personal Care,Lips,Lipstick,Lavender,Spring,2017.0,Casual,Revlon Velvet Touch  Lipstick 659,55455.jpg
3407,12392,Men,Accessories,Socks,Socks,Navy Blue,Summer,2016.0,Formal,Reid & Taylor Men Solid  Navy Blue Socks,12392.jpg
3409,2617,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,Nike Mens Red Bleed Blue T-shirt,2617.jpg
3411,13240,Men,Apparel,Topwear,Jackets,White,Fall,2011.0,Casual,Palm Tree Kids Boys Solid White Jackets,13240.jpg
3416,49836,Women,Footwear,Flip Flops,Flip Flops,Gold,Winter,2012.0,Casual,iPanema Women Gold Flip Flops,49836.jpg
3417,16732,Men,Footwear,Flip Flops,Flip Flops,Brown,Fall,2011.0,Casual,Lotto Men Earth Brown Slipper,16732.jpg
3419,47190,Men,Footwear,Shoes,Formal Shoes,Brown,Summer,2012.0,Formal,Franco Leone Men Brown Shoes,47190.jpg
3421,52214,Women,Accessories,Jewellery,Pendant,Silver,Fall,2012.0,Casual,Lencia Sterling Silver Pendant,52214.jpg
3423,36751,Girls,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Little Miss Girls Blah White Top,36751.jpg
3425,37683,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012.0,Casual,American Tourister Unisex Black Backpack,37683.jpg
3426,14401,Women,Footwear,Shoes,Heels,Blue,Summer,2012.0,Casual,Enroute Women Steelblue Heels,14401.jpg
3427,39719,Women,Apparel,Topwear,Tops,Beige,Summer,2012.0,Casual,Arrow Woman Beige Top,39719.jpg
3429,11173,Men,Apparel,Topwear,Sweaters,Red,Fall,2011.0,Casual,Scullers Men Stripes Red Sweaters,11173.jpg
3430,25346,Men,Apparel,Innerwear,Briefs,Black,Summer,2016.0,Casual,Levis Men Black  Brief,25346.jpg
3431,24294,Men,Accessories,Socks,Socks,Navy Blue,Summer,2016.0,Casual,Quiksilver Men High Navy Blue Socks,24294.jpg
3437,55031,Women,Personal Care,Lips,Lipstick,Purple,Spring,2017.0,Casual,Lakme Absolute Matte Pure Glam Lipstick 201,55031.jpg
3441,50543,Men,Apparel,Innerwear,Briefs,White,Summer,2016.0,Casual,Chromozome Men White Briefs,50543.jpg
3442,17284,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,U.S. Polo Assn. Men Stripes Fedral Blue Polo  Tshirt,17284.jpg
3444,43968,Men,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,2017.0,Casual,DKNY Men Red Delicious Men Spray Perfume,43968.jpg
3445,34006,Girls,Apparel,Topwear,Tops,Purple,Summer,2012.0,Casual,Gini and Jony Girls Purple Top,34006.jpg
3447,7701,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Casual,Jealous 21 Women's She's Attitude Scarlet Pink T-shirt,7701.jpg
3450,27623,Men,Apparel,Bottomwear,Shorts,Beige,Summer,2012.0,Casual,Scullers Men Beige Shorts,27623.jpg
3451,30694,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Black Heels,30694.jpg
3453,43366,Women,Footwear,Shoes,Flats,Navy Blue,Summer,2012.0,Casual,Reebok Women Navy Blue Casual Shoes,43366.jpg
3454,16958,Men,Accessories,Eyewear,Sunglasses,Blue,Winter,2016.0,Casual,Image Men Sunglasses,16958.jpg
3458,23283,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Ssteele Men White Watch,23283.jpg
3460,16164,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Enroute Men Leather Brown Sandals,16164.jpg
3462,7533,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011.0,Sports,Nike Men's As T90 Black Short,7533.jpg
3464,36563,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Jack & Jones Men Polo Blue T-shirt,36563.jpg
3466,45091,Women,Apparel,Innerwear,Bra,Lavender,Winter,2015.0,Casual,Bwitch Enchant Lavender & White Printed Bra RTV-BW297,45091.jpg
3468,20406,Women,Accessories,Wallets,Wallets,Green,Winter,2015.0,Casual,Baggit Women Zanzil Taj Green Wallet,20406.jpg
3470,44143,Men,Personal Care,Fragrance,Perfume and Body Mist,Black,Spring,2017.0,Casual,Boss Men Number One Perfume,44143.jpg
3472,56486,Women,Personal Care,Nails,Nail Polish,Red,Spring,2017.0,,Streetwear Berry Shine Nail Polish # 79,56486.jpg
3473,11341,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2017.0,Casual,Lee Men Light Blue Chicago Fit Jeans,11341.jpg
3476,57554,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,,Lotus Herbals SPF-10 Coffee Berry Lipstick 422,57554.jpg
3478,42249,Women,Apparel,Topwear,Tunics,Blue,Summer,2012.0,Casual,Sepia Women Blue Tunic,42249.jpg
3481,9454,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,John Miller Men White Check Shirt,9454.jpg
3482,17877,Men,Apparel,Innerwear,Innerwear Vests,Beige,Summer,2016.0,Casual,Levisi Men Comfort Style Beige Innerwear Vest,17877.jpg
3483,30669,Men,Accessories,Eyewear,Sunglasses,Steel,Winter,2016.0,Casual,Park Avenue Men Steel Sunglasses,30669.jpg
3487,28696,Women,Apparel,Topwear,Kurtas,Rust,Summer,2012.0,Ethnic,W Women Printed Rust Kurta,28696.jpg
3489,53109,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016.0,Casual,Fabindia Silver Earrings,53109.jpg
3490,5299,Unisex,Accessories,Bags,Backpacks,Red,Summer,2011.0,Casual,Reebok Unisex Red Backpack,5299.jpg
3491,24867,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Reid & Taylor Men Casual Black Belt,24867.jpg
3492,59433,Women,Accessories,Bags,Clutches,Red,Summer,2015.0,Casual,Spice Art Women Red Clutch,59433.jpg
3493,53935,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Kiara Women Brown Handbag,53935.jpg
3494,38404,Women,Accessories,Belts,Belts,Purple,Summer,2012.0,Casual,Baggit Women Purple Xylo Taj Belt,38404.jpg
3498,59601,Women,Apparel,Saree,Sarees,Brown,Summer,2012.0,Ethnic,FNF Brown Wedding Collection Sari,59601.jpg
3499,4179,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2011.0,Formal,Rockport Men's Tyson Black Shoe,4179.jpg
3500,5897,Women,Footwear,Shoes,Casual Shoes,White,Summer,2011.0,Casual,Puma Women's Feuerwerk White Shoe,5897.jpg
3503,56649,Women,Apparel,Topwear,Kurtis,Cream,Fall,2012.0,Ethnic,Mumbai Slang Women Cream Kurti,56649.jpg
3508,23870,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,ADIDAS Men Black  Track Pant,23870.jpg
3509,48541,Men,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Wrangler Men Brown Belt,48541.jpg
3513,42847,Women,Accessories,Bags,Clutches,Black,Summer,2012.0,Casual,French Connection Women Black Purse,42847.jpg
3516,47509,Men,Apparel,Innerwear,Briefs,Brown,Summer,2016.0,Casual,Facit Men Brown Brief,47509.jpg
3519,14098,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Flying Machine Men Printed Blue Tshirts,14098.jpg
3520,15976,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Turtle Solid Men Purple Shirt,15976.jpg
3522,39380,Men,Apparel,Bottomwear,Jeans,White,Summer,2012.0,Casual,Peter England Men Blue Party Jeans,39380.jpg
3523,10438,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Flying Machine Men Midrise Blue Jeans,10438.jpg
3524,48125,Women,Accessories,Belts,Belts,Multi,Summer,2012.0,Casual,Fossil Women Multi Coloured Ombre Braid Belt,48125.jpg
3527,18655,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011.0,Casual,Fila Men Drop Needle Black Slippers,18655.jpg
3531,30803,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Ethnic,Fabindia Men Blue Shirt,30803.jpg
3532,7398,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,2018.0,Formal,Red Tape Men Brown Shoes,7398.jpg
3533,26966,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Check Purple Shirt,26966.jpg
3534,51008,Women,Apparel,Innerwear,Bra,Purple,Summer,2014.0,Casual,Enamor Purple Bra,51008.jpg
3536,18467,Men,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,2017.0,Casual,Reebok Reegame Men Perfumes,18467.jpg
3540,26368,Women,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Arrow Woman Red Shirt,26368.jpg
3542,12961,Men,Footwear,Sandal,Sandals,Brown,Fall,2011.0,Casual,ADIDAS Men Casual Brown Sandals,12961.jpg
3543,45408,Women,Footwear,Shoes,Flats,Beige,Winter,2012.0,Casual,Rocia Women Beige & Brown Sandals,45408.jpg
3546,40946,Girls,Apparel,Topwear,Tops,Navy Blue,Summer,2012.0,Casual,Gini and Jony Girls Nautical Blues Navy Blue Top,40946.jpg
3548,33488,Men,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Doodle Kids Boy Check Purple Shirt,33488.jpg
3552,39374,Women,Accessories,Watches,Watches,Green,Winter,2016.0,Casual,Helix Women Green Dial Watch,39374.jpg
3554,14850,Men,Accessories,Wallets,Wallets,Black,Summer,2011.0,Casual,United Colors of Benetton Men Solid Black Wallets,14850.jpg
3557,13249,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011.0,Casual,Palm Tree Kids Boy Solid Brown Trousers,13249.jpg
3559,46877,Men,Accessories,Socks,Socks,Beige,Summer,2012.0,Casual,Lino Perros Men Pack of 2 Socks,46877.jpg
3560,31119,Girls,Apparel,Topwear,Tops,Purple,Summer,2012.0,Casual,Gini and Jony Girls Purple Top,31119.jpg
3561,8324,Boys,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Doodle Boy's Athletic 77 Dept White Kidswear,8324.jpg
3562,28034,Men,Apparel,Innerwear,Briefs,Charcoal,Summer,2016.0,Casual,Jockey ELANCE Men Charcoal Grey Y Front Briefs 1006,28034.jpg
3563,47199,Men,Footwear,Shoes,Formal Shoes,Brown,Summer,2012.0,Formal,Franco Leone Men Dark Brown Formal Shoes,47199.jpg
3564,27840,Men,Accessories,Belts,Belts,Red,Summer,2013.0,Casual,Bulchee Men Red Leather Belt,27840.jpg
3565,26992,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jealous 21 Women Washed Light Blue Jeans,26992.jpg
3566,31925,Women,Accessories,Bags,Handbags,Red,Summer,2012.0,Casual,Fabindia Women Red Silk Handbag,31925.jpg
3572,16509,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Locomotive Men Washed Blue Jeans,16509.jpg
3574,46279,Women,Apparel,Topwear,Tunics,Blue,Summer,2012.0,Casual,109F Women Blue & Green Polka Dot Print Tunic,46279.jpg
3576,58171,Women,Accessories,Bags,Handbags,Grey,Fall,2012.0,Casual,Rocky S Women Grey Handbag,58171.jpg
3582,49655,Women,Apparel,Bottomwear,Skirts,Pink,Summer,2012.0,Casual,Mineral Pink & Green Skirt,49655.jpg
3583,19125,Women,Footwear,Flip Flops,Flip Flops,Blue,Fall,2011.0,Casual,Lotto Women XL Kelly Blue Slippers,19125.jpg
3584,48787,Women,Accessories,Jewellery,Pendant,Silver,Summer,2015.0,Casual,Lucera Women Silver Pendant,48787.jpg
3585,17883,Men,Apparel,Innerwear,Innerwear Vests,Navy Blue,Summer,2016.0,Casual,Levis Men Comfort Style Navy Blue Innerwear Vest,17883.jpg
3588,28662,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Nike Men Lunar Flow Black Casual Shoes,28662.jpg
3590,2874,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Black Heels,2874.jpg
3591,33824,Women,Footwear,Shoes,Sports Shoes,Grey,Summer,2012.0,Sports,Puma Women Grey Axis Sports Shoes,33824.jpg
3594,45098,Women,Apparel,Innerwear,Briefs,Pink,Summer,2016.0,Casual,Bwitch Fushia Pink Sapphire Brief,45098.jpg
3596,44976,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Maxima Attivo Men Black Dial Watch,44976.jpg
3597,11348,Men,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2017.0,Casual,Lee Men Navy Blue Powell Fit Jeans,11348.jpg
3599,52813,Men,Accessories,Wallets,Wallets,Brown,Summer,2012.0,Casual,JAG Men Chocolate Brown Leather Wallet,52813.jpg
3601,44378,Men,Personal Care,Fragrance,Perfume and Body Mist,Black,Spring,2017.0,Casual,ADIDAS Men Dynamic Pulse Perfume,44378.jpg
3604,11946,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Ganuchi Men Casual Brown Sandals,11946.jpg
3605,36758,Women,Accessories,Watches,Watches,Grey,Winter,2016.0,Casual,Maxima Women Grey Dial Watch,36758.jpg
3606,5863,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011.0,Casual,ADIDAS Men's Saltero Purple T-shirt,5863.jpg
3607,39710,Unisex,Accessories,Watches,Watches,Blue,Winter,2016.0,Casual,ADIDAS Original Unisex Blue Dial Chronograph Watch ADH2639,39710.jpg
3608,19317,Unisex,Accessories,Bags,Backpacks,Black,Spring,2013.0,Casual,Nike Unisex Casual Black Backpack,19317.jpg
3609,55038,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,,Lakme Absolute Matte Brick Lipstick 51,55038.jpg
3613,27418,Women,Apparel,Bottomwear,Capris,Red,Winter,2015.0,Casual,Jockey Women Red Relaxed Capris,27418.jpg
3614,34833,Women,Footwear,Shoes,Flats,Green,Summer,2012.0,Casual,ADIDAS Women Sweep Green Sandals,34833.jpg
3615,7708,Women,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Jealous 21 Women Aliah Blue Jegging,7708.jpg
3617,51498,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Denizen Women Blue Jeans,51498.jpg
3618,29582,Women,Footwear,Shoes,Flats,Black,Summer,2012.0,Casual,Puma Women Black Grace Flats,29582.jpg
